iter	RMSE
0	17.39404449
1	17.22780163
2	17.08781335
3	16.91341715
4	16.78740043
5	16.62746947
6	16.46705386
7	16.33107652
8	16.17276003
9	16.04522321
10	15.92263956
11	15.82191216
12	15.73488506
13	15.60944132
14	15.46986827
15	15.35405614
16	15.24599702
17	15.17780331
18	15.08506999
19	14.97757555
20	14.904446
21	14.82688324
22	14.73513359
23	14.66301809
24	14.58227787
25	14.50559282
26	14.4323421
27	14.37977088
28	14.30797161
29	14.26335458
30	14.20718118
31	14.16801741
32	14.11332723
33	14.03218954
34	13.98024759
35	13.93051742
36	13.88572395
37	13.82717196
38	13.79120408
39	13.72209977
40	13.68427821
41	13.60088726
42	13.55906846
43	13.50970302
44	13.47155857
45	13.40206232
46	13.34082286
47	13.29507562
48	13.26607181
49	13.23941566
50	13.18113235
51	13.15694738
52	13.11372377
53	13.06334229
54	13.0248952
55	12.99684952
56	12.95805623
57	12.91681993
58	12.89972948
59	12.82578238
60	12.79978243
61	12.78010684
62	12.7518448
63	12.73124627
64	12.70831656
65	12.67854028
66	12.64559505
67	12.61940421
68	12.58489047
69	12.55510114
70	12.5279802
71	12.50279717
72	12.4651131
73	12.44992589
74	12.40887652
75	12.39762927
76	12.37109924
77	12.34003334
78	12.33999314
79	12.31014023
80	12.29066386
81	12.27487249
82	12.25884232
83	12.22098448
84	12.20527721
85	12.19129777
86	12.17648763
87	12.16017593
88	12.14037094
89	12.10639647
90	12.07794031
91	12.04924378
92	12.03494252
93	12.00741484
94	11.98286758
95	11.96824469
96	11.95063066
97	11.93117803
98	11.9311568
99	11.90038112
100	11.87075769
101	11.85137578
102	11.84285748
103	11.8273026
104	11.80396332
105	11.79778066
106	11.79304278
107	11.78885729
108	11.78232618
109	11.75908833
110	11.73118925
111	11.70055705
112	11.6924808
113	11.67548959
114	11.6625522
115	11.63772823
116	11.62514772
117	11.60654556
118	11.59329394
119	11.5845125
120	11.5803245
121	11.55554681
122	11.54581838
123	11.53600952
124	11.52710431
125	11.51306335
126	11.4965515
127	11.48431331
128	11.44519088
129	11.43544672
130	11.41561344
131	11.40341205
132	11.38820758
133	11.38008376
134	11.36751409
135	11.35190003
136	11.34450669
137	11.32637584
138	11.31721924
139	11.31098247
140	11.30246295
141	11.2687847
142	11.25478966
143	11.24221314
