iter	Passed	Remaining
0	15	4772
1	35	5338
2	56	5566
3	66	4941
4	88	5194
5	113	5555
6	134	5648
7	157	5740
8	175	5664
9	196	5697
10	219	5759
11	235	5643
12	251	5548
13	262	5355
14	283	5390
15	303	5390
16	313	5219
17	333	5221
18	353	5231
19	373	5224
20	382	5087
21	402	5090
22	412	4968
23	432	4969
24	450	4960
25	470	4953
26	484	4894
27	504	4898
28	525	4911
29	535	4821
30	555	4823
31	576	4829
32	616	4986
33	636	4979
34	664	5032
35	688	5052
36	705	5015
37	721	4976
38	752	5032
39	764	4970
40	792	5003
41	820	5039
42	847	5062
43	860	5006
44	893	5062
45	916	5059
46	938	5050
47	949	4986
48	971	4978
49	983	4916
50	999	4877
51	1019	4863
52	1037	4832
53	1061	4835
54	1085	4836
55	1109	4832
56	1131	4823
57	1154	4817
58	1175	4800
59	1196	4784
60	1217	4770
61	1238	4754
62	1259	4738
63	1281	4726
64	1303	4713
65	1314	4660
66	1335	4643
67	1356	4627
68	1377	4612
69	1398	4594
70	1413	4559
71	1433	4540
72	1452	4517
73	1461	4464
74	1476	4428
75	1495	4407
76	1515	4389
77	1537	4375
78	1561	4367
79	1585	4360
80	1606	4342
81	1625	4320
82	1644	4300
83	1665	4281
84	1684	4261
85	1698	4226
86	1717	4204
87	1735	4181
88	1754	4159
89	1768	4126
90	1773	4072
91	1782	4030
92	1804	4017
93	1823	3997
94	1842	3976
95	1856	3945
96	1878	3930
97	1906	3929
98	1933	3924
99	1958	3917
100	1977	3896
101	1996	3876
102	2015	3854
103	2034	3833
104	2053	3812
105	2071	3792
106	2090	3771
107	2109	3750
108	2128	3729
109	2146	3708
110	2165	3687
111	2184	3667
112	2203	3646
113	2222	3626
114	2242	3606
115	2260	3586
116	2280	3566
117	2298	3545
118	2317	3524
119	2335	3503
120	2354	3482
121	2373	3462
122	2392	3442
123	2410	3421
124	2431	3404
125	2453	3387
126	2473	3369
127	2493	3351
128	2514	3333
129	2535	3316
130	2555	3296
131	2570	3271
132	2593	3256
133	2614	3238
134	2672	3266
135	2703	3259
136	2730	3249
137	2757	3236
138	2802	3246
139	2825	3229
140	2847	3211
141	2867	3191
142	2891	3174
143	2911	3154
144	2932	3134
145	2954	3116
146	2974	3095
147	2994	3075
148	3013	3054
149	3032	3032
150	3052	3011
151	3072	2991
152	3091	2969
153	3111	2949
154	3130	2928
155	3149	2907
156	3168	2886
157	3188	2865
158	3207	2844
159	3228	2824
160	3247	2804
161	3267	2783
162	3286	2762
163	3322	2755
164	3342	2734
165	3361	2713
166	3381	2692
167	3400	2671
168	3419	2650
169	3438	2629
170	3457	2608
171	3476	2587
172	3501	2570
173	3521	2550
174	3541	2529
175	3560	2508
176	3579	2487
177	3599	2466
178	3618	2446
179	3637	2425
180	3656	2404
181	3675	2383
182	3694	2362
183	3713	2340
184	3732	2320
185	3754	2300
186	3772	2279
187	3791	2258
188	3810	2237
189	3829	2216
190	3847	2195
191	3866	2175
192	3885	2154
193	3906	2134
194	3925	2113
195	3944	2092
196	3963	2072
197	3982	2051
198	4001	2030
199	4020	2010
200	4040	1989
201	4059	1969
202	4079	1949
203	4098	1928
204	4116	1907
205	4135	1887
206	4154	1866
207	4173	1845
208	4192	1825
209	4211	1804
210	4230	1784
211	4249	1763
212	4268	1743
213	4287	1723
214	4306	1702
215	4325	1682
216	4344	1661
217	4363	1641
218	4383	1621
219	4403	1601
220	4423	1581
221	4442	1560
222	4462	1540
223	4480	1520
224	4501	1500
225	4522	1480
226	4541	1460
227	4561	1440
228	4580	1420
229	4600	1400
230	4619	1379
231	4638	1359
232	4658	1339
233	4677	1319
234	4698	1299
235	4717	1279
236	4738	1259
237	4764	1241
238	4786	1221
239	4808	1202
240	4829	1182
241	4850	1162
242	4871	1142
243	4894	1123
244	4915	1103
245	4935	1083
246	4955	1063
247	4976	1043
248	4997	1023
249	5019	1003
250	5039	983
251	5058	963
252	5079	943
253	5103	924
254	5122	904
255	5141	883
256	5160	863
257	5179	843
258	5198	822
259	5220	803
260	5239	782
261	5259	762
262	5279	742
263	5300	722
264	5319	702
265	5338	682
266	5357	662
267	5376	641
268	5396	621
269	5415	601
