iter	Passed	Remaining
0	22	6740
1	46	6866
2	68	6772
3	90	6677
4	113	6694
5	133	6564
6	155	6526
7	177	6494
8	198	6415
9	219	6379
10	242	6374
11	262	6304
12	283	6266
13	298	6091
14	307	5850
15	323	5744
16	345	5759
17	368	5773
18	391	5796
19	415	5813
20	436	5795
21	459	5808
22	475	5723
23	496	5712
24	518	5700
25	534	5636
26	558	5642
27	578	5623
28	601	5619
29	623	5615
30	644	5595
31	666	5582
32	689	5578
33	711	5568
34	735	5569
35	754	5532
36	778	5532
37	795	5486
38	817	5469
39	839	5458
40	860	5435
41	880	5408
42	900	5382
43	963	5604
44	995	5643
45	1019	5629
46	1043	5616
47	1065	5594
48	1089	5580
49	1113	5567
50	1137	5554
51	1161	5537
52	1182	5512
53	1204	5489
54	1227	5468
55	1243	5418
56	1263	5386
57	1285	5364
58	1302	5320
59	1314	5256
60	1331	5216
61	1342	5152
62	1359	5114
63	1381	5093
64	1403	5073
65	1426	5059
66	1448	5035
67	1463	4993
68	1486	4975
69	1508	4955
70	1530	4936
71	1552	4914
72	1574	4895
73	1594	4869
74	1611	4835
75	1630	4804
76	1652	4785
77	1663	4734
78	1685	4716
79	1707	4696
80	1723	4660
81	1745	4640
82	1766	4618
83	1785	4591
84	1800	4553
85	1818	4526
86	1841	4507
87	1862	4487
88	1884	4467
89	1907	4449
90	1922	4414
91	1933	4371
92	1949	4338
93	1970	4318
94	1991	4297
95	2012	4276
96	2037	4263
97	2068	4263
98	2090	4243
99	2112	4225
100	2136	4208
101	2160	4193
102	2180	4170
103	2196	4139
104	2218	4119
105	2235	4091
106	2258	4072
107	2273	4041
108	2282	4000
109	2305	3982
110	2322	3954
111	2343	3933
112	2365	3914
113	2388	3897
114	2410	3877
115	2431	3857
116	2467	3859
117	2495	3849
118	2517	3829
119	2539	3809
120	2561	3789
121	2581	3766
122	2595	3735
123	2614	3711
124	2635	3689
125	2656	3668
126	2677	3647
127	2693	3619
128	2715	3599
129	2731	3572
130	2754	3553
131	2777	3534
132	2793	3507
133	2810	3481
134	2831	3461
135	2852	3439
136	2871	3416
137	2892	3396
138	2915	3376
139	2932	3351
140	2953	3330
141	2977	3312
142	2997	3290
143	3017	3268
144	3037	3247
145	3060	3227
146	3080	3206
147	3103	3187
148	3121	3163
149	3142	3142
150	3165	3123
151	3188	3104
152	3209	3083
153	3231	3063
154	3254	3044
155	3277	3025
156	3299	3005
157	3321	2985
158	3343	2965
159	3365	2944
160	3388	2925
161	3410	2905
162	3432	2884
163	3452	2863
164	3473	2842
165	3496	2822
166	3518	2802
167	3539	2780
168	3564	2762
169	3586	2742
170	3607	2721
171	3630	2701
172	3652	2681
173	3674	2660
174	3697	2641
175	3723	2623
176	3745	2602
177	3768	2582
178	3794	2564
179	3818	2545
180	3841	2525
181	3862	2504
182	3886	2484
183	3909	2464
184	3943	2451
185	3965	2430
186	3988	2409
187	4010	2389
188	4033	2368
189	4054	2347
190	4075	2325
191	4097	2305
192	4120	2284
193	4142	2263
194	4165	2243
195	4186	2221
196	4208	2200
197	4231	2179
198	4253	2158
199	4276	2138
200	4300	2117
201	4322	2097
202	4343	2075
203	4380	2061
204	4401	2039
205	4423	2018
206	4444	1996
207	4468	1976
208	4489	1954
209	4511	1933
210	4533	1912
211	4554	1890
212	4577	1869
213	4598	1847
214	4620	1826
215	4643	1805
216	4666	1784
217	4686	1762
218	4706	1740
219	4725	1718
220	4746	1696
221	4768	1675
222	4789	1653
223	4815	1633
224	4837	1612
225	4859	1591
226	4881	1569
227	4904	1548
228	4925	1527
229	4947	1505
230	4968	1484
231	4989	1462
232	5011	1441
233	5033	1419
234	5055	1398
235	5078	1377
236	5097	1355
237	5119	1333
238	5141	1312
239	5163	1290
240	5185	1269
241	5207	1248
242	5230	1226
243	5253	1205
244	5274	1184
245	5295	1162
246	5316	1140
247	5339	1119
248	5366	1099
249	5388	1077
250	5416	1057
251	5437	1035
252	5458	1013
253	5480	992
254	5502	971
255	5524	949
256	5543	927
257	5562	905
258	5583	883
259	5605	862
260	5627	840
261	5647	819
262	5666	797
263	5686	775
264	5708	753
265	5729	732
266	5751	710
267	5773	689
268	5794	667
269	5816	646
270	5838	624
271	5860	603
272	5881	581
273	5903	560
274	5924	538
275	5949	517
276	5970	495
277	5992	474
278	6012	452
279	6034	431
280	6055	409
281	6075	387
282	6129	368
283	6153	346
284	6182	325
285	6206	303
286	6230	282
287	6251	260
288	6271	238
289	6290	216
290	6313	195
291	6334	173
292	6356	151
293	6379	130
294	6400	108
295	6423	86
296	6444	65
297	6465	43
298	6486	21
299	6510	0
